一	yi1|yi2|yi4
苻	fu2|pu2
辄	zhe2
娄	lou2
蜗	wo1
筽	ou1|wu2
粳	jing1
褠	gou1
砷	shen1
羔	gao1
霏	fei1
婁	lou2|lv3|lv2|lei2
碉	diao1
笢	min3
篓	lou3
晔	ye4
匝	za1
涸	he2
绠	geng3
枃	jin4
熻	xi1
綔	hu4
肄	yi4|si4
敖	ao2|ao4
棩	yuan1
鑲	xiang1|rang2
俟	qi2|si4
蛊	gu3
骈	pian2
撅	jue1|jue4|jue2|gui4
锑	ti1
鸥	ou1
楔	xie1|xie4
皿	min3|ming3
皬	he2
咔	ka1|ka3|nong4
撶	hua2
埙	xun1
晟	cheng2|sheng4|jing1
龛	kan1
岋	e4|ji2
缈	miao3
錧	guan3
氰	qing2
岷	min2
崄	xian3
砺	li4
惬	qie4
滦	luan2
觐	jin4
鎭	zhen4
弈	yi4
姩	nian4|nian2
蟮	shan4
骅	hua2
莼	chun2
罡	gang1
袈	jia1
牱	ge1
蜥	xi1
氫	qing1
牍	du2
攫	jue2
涗	shui4
擞	sou3|sou4
撲	pu1|bu3
鳜	gui4
卅	sa4
佼	jiao3|jiao1|xiao2
谤	bang4
飚	biao1
荻	di2
缄	jian1
蛭	zhi4
焙	bei4
喙	hui4|zhou4
雹	bao2
兖	yan3
棶	lai2
嗷	ao2
沌	dun4|zhuan4|tun2|chun2
溂	la4
踝	huai2
翟	di2|zhai2
忏	chan4|qian3|qian1
椹	shen4|zhen1
踹	chuai4|shuan4|duan4|chuan3
皈	gui1
涞	lai2
侏	zhu1|zhou1
恬	tian2
琚	ju1
呮	qi4|zhi1
诅	zu3
撴	dun1
炀	yang2
啰	luo1|luo2|luo5
摺	zhe2|la1|xie2
鍧	hong1
餢	bu4
鼐	nai4
谀	yu2
冗	rong3
妗	jin4|xian1
岘	xian4
诙	hui1
塾	shu2
阑	lan2
犊	du2
搐	chu4
熼	yi4
皵	que4
钑	sa4
鲛	jiao1
俅	qiu2
桁	heng2|hang2|hang4
龅	bao1
薰	xun1
嬭	nai3|er3|ni4
崚	leng2|ling2
榘	ju3
缢	yi4
戾	li4
俔	qian4|xian4
痘	dou4
辔	pei4
懡	mo3
玹	xuan2|xuan4|xian2
芍	shao2|xiao4|que4|di4
纰	pi1
帻	ze2
搪	tang2
俚	li3|li4
龈	ken3|yin2
洟	ti4
粰	fu2|fu1
闆	ban3|pan3
鳊	bian1
闾	lv2
斾	pei4
舀	yao3
闫	yan2
聆	ling2
憧	chong1|zhuang4
惋	wan3
幇	bang1
蟀	shuai4
鎮	zhen4|zhen1|tian2
鞯	jian1
鳗	man2
昵	ni4|ni3|zhi4
栨	ci4
桧	gui4|hui4
紑	fou2
揍	zou4|cou4
讫	qi4
臧	zang1|cang2|zang4
圩	wei2|xu1|yu2
臊	sao1|sao4
铎	duo2
隗	kui2|wei3|gui1
勩	yi4
峒	dong4|tong2
缤	bin1
飙	biao1
嗛	qian3|xian2|qian4|qian1|qie4
骷	ku1
闰	run4
钰	yu4
岖	qu1
诽	fei3
輯	ji2
妍	yan2
艮	gen3|gen4|hen2
垚	yao2
嫘	lei2
枸	gou3|gou1|ju3|qu2
煡	jin4
茗	ming2
虬	qiu2
睙	lie4
邰	tai2
鏌	mo4
茹	ru2
侀	xing2
癖	pi3
饔	yong1
瑁	mao4
峣	yao2
恿	yong3|tong1
螾	yin3|yin2
堢	bao3
旀	mei4
僮	tong2|zhuang4|chong4
绦	tao1
杬	yuan2|yuan4
鍩	tian3|nuo4
鞈	ge2|sa3|ta4
鲶	nian2
隨	sui2
铳	chong4
淬	cui4|zu2
峁	mao3
翂	fen1
吡	bi3|bi4|pi3
毂	gu3|gu1
岐	qi2
嘤	ying1
坷	ke3|ke1|jiong1
荚	jia2
涪	fu2|pou2
猇	xiao1
粡	tong2
隽	juan4|jun4
猷	you2
咆	pao2
恸	tong4
苫	shan1|shan4|tian1|chan1
蜷	quan2|juan3
璞	pu2
彷	pang2|fang3|fang2
氳	yun1
芰	ji4
铠	kai3
曦	xi1
崽	zai3
嫦	chang2
瞭	liao3|liao4
髅	lou2
炔	gui4|que1|xue4
唷	yo1|yu4
櫙	ou1
涙	lei4
緢	miao2|mao2
鲌	ba4|bo2
齹	ci1|cuo2
佞	ning4
轼	shi4
銮	luan2
奘	zang4|zhuang3
脐	qi2
埂	geng3
崆	kong1
疄	lin4|lin2
绱	shang4
刎	wen3
誊	teng2
櫧	zhu1
羧	suo1|zui1
荟	hui4
倩	qian4|qing4
楝	lian4
睽	kui2|kui4|ji4
烬	jin4
饯	jian4
尯	kui4|kui3
楃	wo4
颚	e4
岬	jia3|jia2
谆	zhun1
唑	zuo4|shi4
涢	yun2
眰	die4|zhi4
啶	ding4
琏	lian3
憬	jing3
鹗	e4
庖	pao2
猬	wei4
嫳	pie4
繘	yu4|jue2
忾	kai4|qi4
婄	pou3|pei2|bu4
橹	lu3
闅	wen2
鲩	huan4
暄	xuan1
簯	qi5
潢	huang2|huang4|guang1
庤	zhi4
飒	sa4
箐	qing4|jing1|qiang1
叵	po3
戯	hu1|xi4
獭	ta3
胫	jing4
鹉	wu3
痔	zhi4
呗	bei5|bai4
峞	wei2|wei3
缥	piao1|piao3
豢	huan4
硚	qiao2
蔔	bo2|bo5
霈	pei4
殓	lian4
邃	sui4
锵	qiang1
潦	lao3|liao2|lao4|lao2|liao3
氱	yang3
纫	ren4
缂	ke4
罂	ying1
郃	he2|xia2
铵	an3
猕	mi2
宥	you4
嶯	ji2
虻	meng2
潞	lu4
瘠	ji2
嶉	cui1|zui3
鳎	ta3
囤	dun4|tun2
疱	pao4
萦	ying2
潹	chan2
牦	mao2
眈	dan1|chen3
織	zhi1|zhi4
闟	xi4|se4|ta4
腆	tian3
罔	wang3|wang2
媲	pi4|bi1|pi2
夐	xiong4|xuan4
樿	shan4
呬	xi4|chi4
堣	yu2
滈	hao4|xue4
弽	she4
満	man3
莆	pu2|fu3
饕	tao1
孛	bei4|bo2
洿	wu1|hu4
臾	yu2|yu3|yong3|kui4
缇	ti2
莅	li4
鐏	zun1
螂	lang2
瀚	han4
隼	sun3
瞌	ke1
賬	zhang4
愶	xie2
痣	zhi4
蒴	shuo4
柚	you4|you2|zhou2
锹	qiao1
瓯	ou1
弋	yi4
圜	huan2|yuan2
炴	yang3
绻	quan3
臆	yi4|yi3
嚏	ti4
弁	bian4|pan2
诳	kuang2
铡	zha2
嚫	chen4
庯	bu1
敓	duo2
栉	zhi4
喋	die2|zha2|qie4
坳	ao4|ao1|you3
狰	zheng1
獐	zhang1
瘸	que2
娣	di4
囦	yuan1
摒	bing3|bing4
榔	lang2|lang3
湵	you3
裨	bi4|pi2
蟋	xi1
镌	juan1
狻	suan1|xun4|jun4
睢	sui1|hui1|wei3
蛀	zhu4
楄	pian2
藐	miao3|mo4
郠	geng3
睑	jian3
疽	ju1|ju3
啀	ai2
啐	cui4|zu2|za2|e4|chuai4
韭	jiu3
镉	ge2
艿	nai3|reng2|reng4
羯	jie2
浐	chan3
镣	liao4
瘪	bie3|bie1
壇	tan2|shan4|dan4|tan3
狲	sun1
笁	zhu2
黍	shu3
楣	mei2|mei3
徵	zheng1|zhi3|cheng2
蚜	ya2
妫	gui1
橈	rao2|nao2
欓	dang3|tang3
鹫	jiu4
盹	dun3|zhun1
忐	tan3|keng3
憳	tan3
鍢	fu4
鐧	jian1|jian3
廿	nian4
氲	yun1|yun2
鹞	yao4
橇	qiao1
婅	ju2
斺	chan3|jie4
窡	zhuo2
荞	qiao2
鑵	guan4
茜	qian4|xi1
颉	jie2|xie2
屹	yi4|ge1
葑	feng1|feng4
搠	shuo4
瀃	si4
燧	sui4
瑧	zhen1
箩	luo2
俪	li4
嚅	ru2
墍	xi4
蛓	ci4
裇	xu1
飓	ju4
偻	lou2|lv3
啮	nie4
噸	dun1
掸	dan3|shan4
旇	pi1|bi4
耦	ou3
坃	xun1
犒	kao4
鐞	nou4
雒	luo4
骥	ji4
濅	jin4
蟸	li3
鐙	deng4|deng1
摞	luo4
呯	ping2
堬	yu2
崂	lao2
彂	fa1
鐑	qie4
槃	pan2
闳	hong2
桢	zhen1
竦	song3
囱	cong1|chuang1
湮	yan1|yin1
庋	gui3|gui4
沏	qi1|qie4
濓	lian2
鎻	suo3
颏	ke1|ke2
冪	mi4
咂	za1
楋	la4
竷	kan3|kan4
嚬	pin2
洮	tao2|yao2|dao4
匍	pu2
呷	ga1|xia1|xia2|jia3
辘	lu4
潍	wei2
鍍	du4
轭	e4
嗫	nie4
曞	li4
潻	shu3
鸵	tuo2
蠹	du4
翎	ling2
罄	qing4
嗬	he1
涚	shui4
飧	sun1
珟	su4
缱	qian3
籁	lai4
叞	wei4
哂	shen3
琥	hu3
鬃	zong1
侊	guang1
啬	se4
辂	lu4
瘢	ban1
笞	chi1
忑	te4|dao3
鲈	lu2
鏇	xuan4|xuan2
昇	sheng1
慛	cui1
濞	bi4|pi4
炵	tong1
缫	sao1
暧	ai4|nuan3
匐	fu2
蚤	zao3|zhao3
夙	su4
斫	zhuo2|chuo4
湄	mei2
艄	shao1|shao4
郓	yun4
桀	jie2
阈	yu4
痞	pi3
镗	tang1|tang2
悜	cheng3
蛆	qu1|ju1
腼	mian3
瞑	ming2|meng2|mian2
霭	ai3
徨	huang2
痈	yong1
鹭	lu4
柞	zha4|zuo4|ze2
捱	ai2|ai1
碛	qi4
婀	e1|e3
洱	er3
趸	dun3
熵	shang1
蜚	fei1|fei3|pei4|bei4
叼	diao1
缃	xiang1
铰	jiao3
谗	chan2
湟	huang2|kuang4
洖	wu2
濈	ji2|sha4
翱	ao2
噙	qin2
宀	mian2
忚	xi1|lie3
悊	zhe2
緰	tou2|xu1|yu2
猓	guo3|luo3
妩	wu3
簺	sai4
徇	xun4
裆	dang1
晩	wan3
栬	zui4
墀	chi2
刂	dao1
叓	shi4|li4
唁	yan4
癞	lai4
燂	tan2|xun2|qian2
馁	nei3
叺	chi3
痫	xian2
怏	yang4|yang1
熨	yun4|yu4|wei4
蜃	shen4
潕	wu3
鐖	ji1|qi2
仄	ze4
睨	ni4
姏	man2
鸩	zhen4
浗	qiu2
炰	pao2|fou3
岫	xiu4
佥	qian1
偣	yan1
膻	shan1|dan4
诩	xu3
笖	yi3
瞠	cheng1|zheng4
墒	shang1
芪	qi2|chi2
儚	meng2
刍	chu2
藜	li2
醺	xun1
鍠	huang2
帙	zhi4
咃	tuo1
堥	mao2|mou2|wu3
畹	wan3|yuan3
涮	shuan4|shua1
汩	gu3|yu4|hu2
畼	chang4
娅	ya4
塬	yuan2
氾	fan4|fan2
灙	dang3
馄	hun2
镫	deng4
剽	piao1|piao4|piao2|biao3|biao1
螃	pang2|bang3
啜	chuai4|chuo4|zhuo2
愮	yao2|yao4
晫	zhuo2
霾	mai2|li2
湰	long2
皊	ling2
鞣	rou2
饨	tun2
曜	yao4
冩	xie3
剜	wan1
辎	zi1
庨	xiao1
渌	lu4
阂	he2
腧	shu4|yu2
玑	ji1
巽	xun4|zhuan4
槑	mei2
诤	zheng4
坂	ban3
鞅	yang1|yang4|yang3
蔫	nian1|yan1|yan4
婺	wu4|mou2|mu4
疣	you2|you4
纾	shu1
璀	cui3
鎹	song4
幂	mi4
钤	qian2
囩	yun2
掬	ju1
忕	shi4|tai4
煜	yu4
觥	gong1
绁	xie4
媾	gou4
忻	xin1
豺	chai2
蚧	jie4
夛	duo1
袂	mei4|yi4
鹑	chun2
環	huan2|huan4
璜	huang2
佝	gou1|kou4|ju1
町	ting1|ting3|ding1|zheng4|tian3
疵	ci1|zi1|zhai4|ji4
啾	jiu1
篙	gao1
撸	lu1
潺	chan2
皯	gan3
緣	yuan2|yuan4
蹚	tang1|tang4|cheng1
鐣	cheng1
彀	gou4|kou1
拮	jie2|jia2
掓	shu1
斂	lian3|lian2
効	xiao4
铆	mao3
渶	ying1
濊	hui4|wei4|huo4
袷	jia2|qia1|jia1|jie2
祗	zhi1
厛	ting1
鍕	jun1
诨	hun4
呃	e4|e5|ai4
铏	xing2
诿	wei3
珅	shen1
噼	pi1
摈	bin4
皨	xing1
繛	chuo4
貧	pin2
螯	ao2
椈	ju2
阊	chang1
饽	bo1
斛	hu2
荥	xing2|ying2
噤	jin4
咛	ning2
蜓	ting2|dian4
裱	biao3
嘁	qi1|zu2|za1
缒	zhui4
虼	ge4
鍂	pian1
鐤	ding3
颔	han4
怵	chu4|xu4
舐	shi4
呴	xu3|hou3|hou1|gou4|gou1|gu1
砻	long2
惆	chou2|qiu1|dao1
黼	fu3
蜍	chu2|yu2
鉙	zhai3
魑	chi1
亍	chu4
嶙	lin2|lin3
嗝	ge2
擄	lu3
魇	yan3
泞	ning4|zhu4
诟	gou4
酐	gan1|hang4
砧	zhen1
徃	wang3
獠	liao2|lao3
硷	jian3
歔	xu1
湎	mian3
牯	gu3
鑽	zuan1|zuan4
遽	ju4|qu2
隍	huang2
诂	gu3
恚	hui4
啕	tao2
叾	liao3
腭	e4
腈	jing1
祜	hu4
娈	luan2
鸨	bao3
鑹	cuan1|cuan4
偈	ji4|jie2|qi4
唰	shua1
囪	cong1
犷	guang3
簲	pai2
炷	zhu4
硒	xi1
惉	zhan1
镕	rong2
跸	bi4
鲫	ji4
缜	zhen3
诓	kuang1
皢	xiao3
绺	liu3
铩	sha1
谧	mi4
櫉	chu2
濉	sui1
痋	teng2|chong2
唢	suo3
帇	nie4
睳	hui1
鍪	mou2
冧	lin2
赊	she1
缟	gao3
龇	zi1
蹴	cu4|zu2|jiu5
沣	feng1
旂	qi2
锟	kun1
淼	miao3
篝	gou1
觊	ji4
鹪	jiao1
窠	ke1
蛰	zhe2
呤	ling4|ling2
黠	xia2
嶏	pei4|pi3
暹	xian1
枇	pi2|bi3|bi4|pi1
枰	ping2
淅	xi1
鼬	you4
苎	zhu4
癣	xuan3
噔	deng1
囔	nang1|nang5
嘭	peng1
蚴	you4|you3|niu4
贲	ben1|bi4
蜻	qing1|jing1
弑	shi4
涑	su4|sou1|shu4
觎	yu2
钺	yue4
锆	gao4
刈	yi4
娡	zhi4
撺	cuan1
绀	gan4
線	xian4
鼋	yuan2
冭	tai4
匦	gui3
挶	ju1
锨	xian1
臃	yong1
硥	mang3|bang4
褴	lan2
昊	hao4
洓	se4|qi4|suo3|zi4
蛐	qu1
赟	yun1
嗪	qin2
犟	jiang4
奁	lian2
撹	jiao3
莓	mei2
涳	kong1|nang2
硌	ge4|luo4|li4
簤	dai4
謇	jian3
鑸	lei3
咣	guang1|gong1
苋	xian4
俣	yu3
冮	gang1
叟	sou3|sou1|xiao1
甾	zai1|zi1
忤	wu3|wu4
掑	qi2
锉	cuo4
厷	gong1|hong2
嵈	huan4
泯	min3|mian4
涜	du2
稞	ke1|hua4
鎽	feng1
耷	da1|zhe2
倌	guan1
坨	tuo2|yi2
孀	shuang1
粕	po4
跚	shan1
洹	huan2
骊	li2
伫	zhu4
猥	wei3|wei4
怆	chuang4
龌	wo4
滂	pang1|peng1
锗	zhe3
筫	zhi4|zhi3
垓	gai1
冽	lie4
龊	chuo4
萘	nai4
岌	ji2
彨	chi1
憿	jiao3|ji1
栭	er2
炆	wen2
鸬	lu2
榫	sun3
阡	qian1
椽	chuan2
孪	luan2
幙	mu4
谪	zhe2
擀	gan3
箴	zhen1|jian3
棿	ni2|nie4
譥	jiao4
瘁	cui4
厩	jiu4
梾	lai2
欤	yu2
箸	zhu4|zhuo2
靓	jing4|liang4
橐	tuo2|du4|luo4
枌	fen2
鲑	gui1|xie2
颧	quan2
痿	wei3
嘌	piao4|piao1
礴	bo2
寤	wu4
搽	cha2
骢	cong1
潟	xi4
箯	bian1
逅	hou4
龃	ju3
咝	si1
哐	kuang1|qiang1
崃	lai2
煚	jiong3
鑺	qu2
騗	pian4
铨	quan2
亳	bo2
厍	she4
鳕	xue3
岣	gou3
詈	li4
敱	ai2|zhu2
羰	tang1
瓑	li4
杓	biao1|shao2|shuo2|di2|zhuo2
菁	jing1
秣	mo4
埆	que4|jue2
宓	mi4|fu2
峇	ba1|ke4
怼	dui4
愠	yun4|yun3|wen3
旓	shao1
曟	chen2
砝	fa2|fa3|jie2|ge2
倜	ti4|diao4|zhou1
嗵	tong1
濛	meng2
敤	ke3
曚	meng2
钽	tan3
閿	wen2
闠	hui4
蹶	jue2|jue3|gui4
仃	ding1|ding3
飨	xiang3
峋	xun2
覃	tan2|qin2|yan3
咿	yi1
孨	zhuan3|ni4
岢	ke3
煇	hui1|hun2|yun4|xun1|xuan4
犍	jian1|qian2|jian3
瑗	yuan4|huan2
绲	gun3
酗	xu4
杳	yao3
懑	men4
桠	ya1
槝	dao3
逦	li3
唏	xi1|xie4
仛	tuo1|duo2|cha4|zhe2
婕	jie2|qie4
呦	you1
幄	wo4
濋	chu3
搡	sang3
椟	du2
谔	e4
嶂	zhang4
囿	you4
戦	zhan4
蹒	pan2
珐	fa4
罅	xia4
闇	an4|an3|an1|yin1|yin3
瑷	ai4
珲	hui1|hun2
醮	jiao4|qiao2|zhan4
馀	yu2
淨	jing4|cheng2
粲	can4
绋	fu2
膂	lv3
乩	ji1
壅	yong1|weng4
吒	zha1|zha4
鄢	yan1
綇	xiu3
賨	cong2
鐥	shan4
纥	ge1|he2
碣	jie2|ke3|ya4
崧	song1
珗	xian1
畻	cheng2
疸	dan3|da5
皝	huang4
粍	zhe2
鎼	xia4
骠	biao1|piao4
囷	qun1
裰	duo1
钏	chuan4
哵	ba1
埽	sao4|sao3
谡	su4
璨	can4
畫	hua4
褛	lv3
鄀	ruo4
祧	tiao1
傕	jue2|que4
硎	xing2|keng1
饩	xi4
嬖	bi4
畨	pan1|fan1
鏖	ao2|biao1
郴	chen1|lan2
鄄	juan4
浔	xun2
厜	zui1
垭	ya1
彛	yi2
搦	nuo4
枟	yun4
诌	zhou1
龉	yu3
镳	biao1
卮	zhi1
蜴	yi4|xi2
嘧	mi4
婇	cai3
篾	mie4
淝	fei2
螟	ming2
呋	fu1
壊	huai4
懋	mao4
浉	shi1
蓖	bi4
嫍	tao1
嵊	sheng4|cheng2
掍	hun4
曠	kuang4
竻	le4|jin1
邛	qiong2
鑱	chan2
劅	zhuo2
劯	zhu1
咭	ji1|xi1|qia4
嬨	ci2
寚	bao3
槾	man4|wan4|man2
蛎	li4
皑	ai2
蛻	tui4
邂	xie4
铛	dang1|cheng1
壒	ai4
昱	yu4
歙	she4|xi1|xie2
腱	jian4|qian2
砭	bian1
缌	si1
遴	lin2|lin4
鑾	luan2
佤	wa3
凇	song1
啵	bo1|bo5
蚩	chi1
彜	yi2
斁	yi4|du4|tu2
洌	lie4
炶	shan3
煩	fan2
砒	pi1
讵	ju4
鍎	tu2
閰	ju2
馊	sou1
魐	gan1
甑	zeng4
挞	ta4
帴	san4|jian3|jian1
愯	song3
槭	qi1|qi4|cu4|zu2|se4
爿	pan2|qiang2
瘙	sao4
缡	li2
賍	zang1
傈	li4
谯	qiao2|qiao4
嘹	liao2|liao4
忛	fan1
蹼	pu3
钍	tu3
铤	ding4|ting3
谲	jue2
慵	yong1
嵘	rong2
姤	gou4
邕	yong1|yong3
杷	pa2|ba4
苁	cong1
飴	yi2|si4
闱	wei2
卣	you3
挈	qie4|qi4|jia2|qia4|shi4
怩	ni2
愰	huang4|huang3
慊	qian4|qie4|xian2|qian3
栲	kao3
橀	xi1
潯	xun2|yin2
臁	lian2
楸	qiu1
佗	tuo2|tuo1|tuo4|yi2
殚	dan1
榧	fei3
爰	yuan2
痨	lao2
禛	zhen1
铌	ni2
鬣	lie4
泓	hong2
廪	lin3
镭	lei2
刽	gui4
桡	rao2
噹	dang1
庾	yu3|yu2
柊	zhong1
鐘	zhong1
隷	li4
淦	gan4|han2
僳	su4
痧	sha1
啉	lin2|lan2|len4
锶	si1
纘	zuan3
诜	shen1
遛	liu2|liu4
鏆	guan4
萜	tie1
虢	guo2
螳	tang2
唿	hu1
嚦	li4
旃	zhan1
忸	niu3
芟	shan1|wei3
诮	qiao4
赳	jiu1|jiu4
閑	xian2
雮	mu4
爻	yao2|xiao4
磬	qing4|qing3
玷	dian4|dian1
蛏	cheng1
蚱	zha4
肱	gong1
碴	cha2|cha1
孑	jie2
苌	chang2
姞	ji2
猢	hu2
狍	pao2
竵	wai1|hua1
笤	tiao2|shao4
罹	li2
鎾	wen1
镦	dui4|dun1
掼	guan4
叏	guai4
翦	jian3
栵	lie4
縊	yi4
讴	ou1
鄯	shan4
酢	cu4|zuo4
鲧	gun3
铋	bi4
啻	chi4|di4
瘿	ying3
卟	bu3|ji1
粼	lin2|lin3
蓑	suo1|sui1
颦	pin2
穑	se4
鬻	yu4|zhou1|ju1
喔	o1|wo1|wu1|o5|o4
衾	qin1
魃	ba2
楅	bi1
脍	kuai4
狎	xia2
滁	chu2
犻	bo2|pei4|fei4
筜	dang1
蒀	yun1
蓧	diao4|tiao2|di2
赝	yan4
鲎	hou4
扪	men2
叆	ai4
靥	ye4
叧	gua3
蓼	liao3|lu4|lao3|liu3
舛	chuan3
鲂	fang2
夈	zhai1
莘	shen1|xin1
恫	dong4|tong1
悧	li4
雠	chou2
椴	duan4
楗	jian4|jian3
霰	xian4|san3
髡	kun1
漯	luo4|ta4|lei3
镓	jia1
钚	bu4
韪	wei3
搧	shan1
嗥	hao2
師	shi1
蛩	qiong2|gong3
螫	shi4|zhe1
脘	wan3|huan4
俎	zu3
膈	ge2
螛	he2|xia2
邳	pi1
拋	pao1
硪	wo4|e2|yi3
沭	shu4
铄	shuo4
倞	jing4|liang4
傩	nuo2
妤	yu2
聒	gua1|guo1
悕	xi1
肓	huang1
珛	xiu4
瘑	guo1
瘮	shen4
鄣	zhang1|zhang4
鋈	wu4
髁	ke1|kua4
瓤	rang2
婵	chan2
苄	bian4
娿	e1|e3
缬	xie2
帼	guo2
铍	pi1|pi2
氩	ya4
褡	da1
舢	shan1
鹜	wu4
赭	zhe3
俳	pai2
繇	yao2|you2|zhou4
蕙	hui4
叡	rui4
弬	yi2
殒	yun3
沤	ou1|ou4
煳	hu2
稹	zhen3|zhen1|bian1
耄	mao4
馕	nang2|nang3
琮	cong2
馥	fu4|bi4
茏	long2
寔	shi2
玖	jiu3
湀	gui3
畬	she1|yu2
畾	lei2
酧	chou2
錯	cuo4|cu4|xi1
镬	huo4
枋	fang1|fang3|bing3
傦	gu3
霁	ji4
喹	kui2
蠖	huo4|yue4
皙	xi1
遑	huang2
峥	zheng1
绂	fu2
嗲	die1|dia3
嘣	beng1
惇	dun1
妯	zhou2|chou1
帿	hou2
彁	ge1
烻	yan4|shan1
畦	qi2
垠	yin2|ken4
姉	zi3
袤	mao4|mou2
汜	si4
毦	er3
芮	rui4|ruo4
節	jie2|jie1
跫	qiong2|qiang1|qiong1
莠	you3|xiu4
钹	bo2
伀	zhong1
冿	jian1
诒	yi2
蜇	zhe1|zhe2
掔	qian1|wan4
缛	ru4
蓿	xu5|su4
荨	xun2|qian2
谠	dang3
阗	tian2
瘘	lou4
姳	ming3
彘	zhi4
脲	niao4
蛉	ling2
矇	meng2|meng3|meng1
蠓	meng3
遒	qiu2|qiu1
鎏	liu2
赀	zi1
儆	jing3
阋	xi4
濯	zhuo2|shuo4|zhao4
锾	huan2
滐	jie2
狅	kuang2
癳	luo3
粖	mo4
茁	zhuo2|zhu2
馑	jin3
蚰	you2|zhu2
郏	jia2
阆	lang2|lang4
稔	ren3
腴	yu2
乇	tuo1|zhe2
侑	you4
篪	chi2
弭	mi3
踔	chuo1|diao4|zhuo1|tiao4|chuo4
晗	han2
囬	hui2
尕	ga3
鲆	ping2
莒	ju3
忥	xi4
滹	hu1|hu3
鹳	guan4
镠	liu2
鲱	fei1
陉	xing2
徕	lai2|lai4
嚮	xiang4|xiang3
悶	men4|men1
旎	ni3
窕	tiao3|tiao1
槈	nou4
麂	ji3
泦	ju2
艽	jiao1|qiu2
蚦	ran2
郪	qi1
骛	wu4
醯	xi1
樽	zun1
倨	ju4
扦	qian1
敯	min3
汻	hu3|huang3
苣	ju4|qu3
跗	fu1|fu4
葆	bao3|bao1
呶	nao2|na2|nu3
庀	pi3
悆	yu4|shu1
曡	die2
玳	dai4
繚	liao2|rao3
愆	qian1
诋	di3
芊	qian1|qian4
咤	zha4
呎	chi3|ying1
喟	kui4|huai4
嗄	a2|sha4|a5|xia4
聿	yu4
鹌	an1
洩	xie4|yi4
玠	jie4
眬	long2
矽	xi4|xi1
粐	hu4
苡	yi3
谖	xuan1
鼍	tuo2
鴙	zhi4
龀	chen4
阕	que4
厝	cuo4|ji2
锷	e4
壂	dian4
槁	gao3|kao4|gao1
薮	sou3
疃	tuan3
皴	cun1
蔪	jian4|jian1|shan1
迨	dai4
鐮	lian2
掾	yuan4|chuan2
跎	tuo2
崴	wai3|wei1|wei3
暀	wang3|wang4
璟	jing3
洰	ju4
濺	jian4|jian1|zan4
熲	jiong3
獬	xie4|ha3|jie3
貉	hao2|he2|mo4|ma4
豕	shi3
刕	li2
芡	qian4
嵁	kan1|zhan4
甙	dai4
彇	xiao1
曪	luo3
杽	chou3
殁	mo4|wen3
湜	shi2
笮	ze2|zuo2|zha4
魰	wen2
噫	yi1|ai3|yi4
黾	min3|mian3|meng3
彈	dan4|tan2
惂	kan3
揿	qin4
摁	en4
棬	quan1|juan4|quan2
梴	chan1
氶	zheng3|cheng2|zheng4
潗	ji2
為	wei4|wei2
焐	wu4
箮	xuan1
粂	zhai1
薹	tai2
螈	yuan2
衏	yuan4
銶	qiu2
鎱	yuan2
壹	yi1|yin1
唸	nian4|dian4
凫	fu2
囫	hu2
囵	lun2
戗	qiang1|qiang4
衩	cha3|cha4
鸢	yuan1
繙	fan1|fan2
纛	dao4|du2
胛	jia3
诖	gua4
迯	tao2
鉔	za1
鯪	ling2
蘖	nie4|bo4
铯	se4
嗑	ke1|ke4|he2|xia2
蛄	gu1|gu3
邈	miao3|miao2
牴	di3|di1|zhai1
骶	di3
鐬	hui4
颞	nie4
餮	tie4
僖	xi1
蝼	lou2
愎	bi4
窨	xun1|yin4|yin1
桉	an1|an4
嬗	shan4|chan2
戕	qiang1|zang1
晷	gui3
窈	yao3|yao4
枡	sheng1
趄	ju1|qie4
